,0,searchResult,searchResultBettingOnTerms,Instagram Followers,Twitter Followers
160,Landry Shamet,381000,243000,,
161,Robin Lopez,60600000,16900000,,
162,Raul Neto,13100000,1190000,,
163,Otto Porter Jr,15200000,2770000,,
164,Isaiah Stewart,9760000,4010000,,
165,Josh Jackson,113000000,23800000,,
166,Moses Brown,120000000,12400000,,
167,Shai Gilgeous-Alexander,1300000,175000,,
168,Theo Maledon,445000,449000,,
169,Aleksej Pokusevski,172000,211000,,
170,P.J. Washington,310000000,6210000,,
171,Patty Mills,12000000,7060000,,
172,Caris LeVert,1450000,5660000,,
173,Cody Zeller,1040000,2460000,,
174,Stephen Curry,79100000,10400000,,
175,Desmond Bane,703000,2100000,,
176,Danilo Gallinari,1390000,905000,,
177,Bogdan Bogdanovic,1210000,5600000,,
178,Brandon Clarke,30900000,8170000,,
179,Deni Avdija,602000,267000,,
180,Otto Porter Jr,15200000,2770000,,
181,DeAndre Ayton,1070000,146000,,
182,Kelly Oubre Jr,1550000,2470000,,
183,Donte DiVincenzo ,847000,168000,,
184,Dejounte ,1040000,1890000,,
185,DeMar D,9030000,6040000,,
186,Giannis Antetok,14000000,1500000,,
187,Jrue H,691000,162000,,
188,Khris Mid,351000,425000,,
189,John Wall,1640000000,13600000,,
190,Danuel House Jr,1670000,254000,,
191,Isaiah Roby,685000,721000,,
192,Jae'Sean Tate,5980000,4930000,,
193,Christian Wood,398000000,4010000,,
194,Bismack Biyombo,337000,186000,,
195,Tony Snell,4110000,3680000,,
196,DeAaron Fox,2750000,349000,,
197,Jordan Clarkson,23100000,7470000,,
198,Aron Baynes,727000,5670000,,
199,Joe Ingles,22100000,4770000,,
200,Kenrich Williams,216000,259000,,
