,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,OGscrapeDate,SiteName,id_old,status_new,status_old,status,Americanprice,Team_ID_away,Game_ID,GAME_DATE_away,MATCHUP_away,WL_away,W_away,L_away,W_PCT_away,MIN_away,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTM_away,FTA_away,FT_PCT_away,OREB_away,DREB_away,REB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,team_away,ignore_away,Team_ID_home,GAME_DATE_home,MATCHUP_home,WL_home,W_home,L_home,W_PCT_home,MIN_home,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTM_home,FTA_home,FT_PCT_home,OREB_home,DREB_home,REB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,team_home,ignore_home,abbr_home,abbr_away,total,result,homeSpread,awaySpread,TEAM_x,TWITTER_x,INSTAGRAM_x,FACEBOOK_x,TOTAL_x,ROI,TEAM_y,TWITTER_y,INSTAGRAM_y,FACEBOOK_y,TOTAL_y
16,297,297,297,297,157,297,297,297,297,297,297,292,297,297,157,297,297,44,44,44,44,63,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,Minnesota Timberwolves,"968,057","1,696,954","1,882,062","4,547,073"
17,112,112,112,112,54,112,112,112,112,112,112,110,112,112,54,112,112,18,18,18,18,24,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,112,111,111,112,112,112,112,112,112,New Orleans Pelicans,"1,011,403","1,697,066","1,758,523","4,466,992"
18,129,129,129,129,65,129,129,129,129,129,129,127,129,129,65,129,129,27,27,27,27,26,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,129,128,128,129,129,129,129,129,129,New York Knicks,"2,154,511","2,313,686","5,808,330","10,276,527"
19,133,133,133,133,66,133,133,133,133,133,133,131,133,133,66,133,133,26,26,26,26,26,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,133,132,132,133,133,133,133,133,133,Oklahoma City Thunder,"2,761,474","4,387,822","7,022,622","14,171,918"
20,224,224,224,224,109,224,224,224,224,224,224,221,224,224,109,224,224,43,43,43,43,47,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,224,223,223,224,224,224,224,224,224,Orlando Magic,"1,492,566","1,027,624","2,736,367","5,256,557"
21,129,129,129,129,65,129,129,129,129,129,129,127,129,129,65,129,129,26,26,26,26,26,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,129,128,128,129,129,129,129,129,129,Philadelphia 76ers,"1,812,422","2,235,941","1,752,623","5,800,986"
22,368,368,368,368,195,368,368,368,368,368,368,362,368,368,195,368,368,57,57,57,57,76,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,368,367,367,368,368,368,368,368,368,Phoenix Suns,"1,086,645","1,269,761","1,878,933","4,235,339"
23,293,293,293,293,149,293,293,293,293,293,293,288,293,293,149,293,293,47,47,47,47,63,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,Portland Trail Blazers,"1,253,838","1,648,030","2,453,147","5,355,015"
24,343,343,343,343,164,343,343,343,343,343,343,337,343,343,164,343,343,64,64,64,64,78,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,Sacramento Kings,"1,065,005","1,315,785","7,735,945","10,116,735"
25,319,319,319,319,164,319,319,319,319,319,319,314,319,319,164,319,319,52,52,52,52,65,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,San Antonio Spurs,"3,471,531","2,866,486","7,017,398","13,355,415"
26,395,395,395,395,199,395,395,395,395,395,395,389,395,395,199,395,395,78,78,78,78,78,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,395,394,394,395,395,395,395,395,395,Toronto Raptors,"2,114,854","2,994,500","2,672,265","7,781,619"
27,290,290,290,290,137,290,290,290,290,290,290,285,290,290,137,290,290,53,53,53,53,65,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,290,269,269,290,290,290,290,290,290,Utah Jazz,"952,978","914,880","7,017,398","8,885,256"
28,200,200,200,200,101,200,200,200,200,200,200,197,200,200,101,200,200,39,39,39,39,39,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,200,199,199,200,200,200,200,200,200,Washington Wizards,"1,017,624","1,397,876","3,191,765","5,607,265"
