,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
2018,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Sacramento-Kings/1289790140,False,0,121,2021-03-25 00:00:00+00:00,Sacramento Kings,Atlanta Hawks,Total Assists - Harrison Barnes,over,2.21,3.5
2019,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Sacramento-Kings/1289790140,False,0,-163,2021-03-25 00:00:00+00:00,Sacramento Kings,Atlanta Hawks,Total Assists - Harrison Barnes,under,1.613,3.5
2020,https://www.pinnacle.com/en/Basketball/NBA/Cleveland-Cavaliers-vs-Chicago-Bulls/1289738633,False,0,-111,2021-03-25 00:00:00+00:00,Chicago Bulls,Cleveland Cavaliers,Total Rebounds - Jarrett Allen,over,1.901,11.5
2021,https://www.pinnacle.com/en/Basketball/NBA/Cleveland-Cavaliers-vs-Chicago-Bulls/1289738633,False,0,-119,2021-03-25 00:00:00+00:00,Chicago Bulls,Cleveland Cavaliers,Total Rebounds - Jarrett Allen,under,1.841,11.5
2022,https://www.pinnacle.com/en/Basketball/NBA/Washington-Wizards-vs-New-York-Knicks/1288761017,False,0,-120,2021-03-23 00:00:00+00:00,New York Knicks,Washington Wizards,"Total Points, Rebounds and Assists - Alex Len",over,1.833,16.5
2023,https://www.pinnacle.com/en/Basketball/NBA/Washington-Wizards-vs-New-York-Knicks/1288761017,False,0,-111,2021-03-23 00:00:00+00:00,New York Knicks,Washington Wizards,"Total Points, Rebounds and Assists - Alex Len",under,1.901,16.5
2024,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,-106,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Double-Double - Deandre Ayton,over,1.943,0.5
2025,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,-126,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Double-Double - Deandre Ayton,under,1.794,0.5
2026,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Minnesota-Timberwolves/1289738635,False,0,132,2021-03-25 00:00:00+00:00,Minnesota Timberwolves,Dallas Mavericks,Total Blocks and Steals - Karl-Anthony Towns,over,2.32,2.5
2027,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Minnesota-Timberwolves/1289738635,False,0,-180,2021-03-25 00:00:00+00:00,Minnesota Timberwolves,Dallas Mavericks,Total Blocks and Steals - Karl-Anthony Towns,under,1.556,2.5
2028,https://www.pinnacle.com/en/Basketball/NBA/Charlotte-Hornets-vs-Houston-Rockets/1289738637,False,0,116,2021-03-25 00:00:00+00:00,Houston Rockets,Charlotte Hornets,Total Blocks and Steals - PJ Washington,over,2.16,2.5
2029,https://www.pinnacle.com/en/Basketball/NBA/Charlotte-Hornets-vs-Houston-Rockets/1289738637,False,0,-155,2021-03-25 00:00:00+00:00,Houston Rockets,Charlotte Hornets,Total Blocks and Steals - PJ Washington,under,1.6455,2.5
2030,https://www.pinnacle.com/en/Basketball/NBA/Washington-Wizards-vs-New-York-Knicks/1288761017,False,0,117,2021-03-23 00:00:00+00:00,New York Knicks,Washington Wizards,Total Made 3 Point Shots - Reggie Bullock,over,2.17,2.5
