,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,-102,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Points - Dejounte Murray,over,1.98,18.5
1,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,-130,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Points - Dejounte Murray,under,1.77,18.5
2,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,104,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Total Assists - Mason Plumlee,over,2.04,3.5
3,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,-138,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Total Assists - Mason Plumlee,under,1.725,3.5
4,https://www.pinnacle.com/en/Basketball/NCAA/Utah-State-vs-Texas-Tech/1284432466,False,0,-142,2021-03-19 00:00:00+00:00,Texas Tech,Utah State,Total Made 3 Point Shots - Mac McClung,under,1.704,1.5
5,https://www.pinnacle.com/en/Basketball/NCAA/Utah-State-vs-Texas-Tech/1284432466,False,0,106,2021-03-19 00:00:00+00:00,Texas Tech,Utah State,Total Made 3 Point Shots - Mac McClung,over,2.06,1.5
6,https://www.pinnacle.com/en/Basketball/NCAA/Virginia-Tech-vs-Florida/1284432747,False,0,-113,2021-03-19 00:00:00+00:00,Florida,Virginia Tech,Total Made 3 Point Shots - Nahiem Alleyne,under,1.885,1.5
7,https://www.pinnacle.com/en/Basketball/NCAA/Virginia-Tech-vs-Florida/1284432747,False,0,-117,2021-03-19 00:00:00+00:00,Florida,Virginia Tech,Total Made 3 Point Shots - Nahiem Alleyne,over,1.8545,1.5
8,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-123,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Assists - Draymond Green,over,1.813,8.5
9,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-108,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Assists - Draymond Green,under,1.926,8.5
10,https://www.pinnacle.com/en/Basketball/NCAA/Cal-Santa-Barbara-vs-Creighton/1284434320,False,0,-112,2021-03-20 00:00:00+00:00,Creighton,Cal Santa Barbara,Total Assists - Marcus Zegarowski,under,1.893,3.5
11,https://www.pinnacle.com/en/Basketball/NCAA/Cal-Santa-Barbara-vs-Creighton/1284434320,False,0,-118,2021-03-20 00:00:00+00:00,Creighton,Cal Santa Barbara,Total Assists - Marcus Zegarowski,over,1.848,3.5
12,https://www.pinnacle.com/en/Basketball/NCAA/NC-Greensboro-vs-Florida-State/1284435003,False,0,-131,2021-03-20 00:00:00+00:00,Florida State,NC Greensboro,Total Points - Raiquan Gray,over,1.764,12.5
