,isProps,link,startTime,home,away,period,betType,price,points,designation,live
0,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,1.97,1.5,over,
1,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,2.98,2.5,over,
2,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,6.43,3.5,over,
3,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,16.56,4.5,over,
4,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,30.0,5.5,over,
5,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,1.93,33.5,over,False
426,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,2.17,35.5,over,False
847,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,2.49,37.5,over,False
1268,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,3.15,39.5,over,False
1689,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,4.52,41.5,over,False
2110,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,7.07,43.5,over,False
2531,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,9.95,45.5,over,False
2952,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,14.12,47.5,over,False
3373,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Points - Bradley Beal,1.56,31.5,over,False
3794,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,1.88,4.5,over,False
4215,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,2.18,5.5,over,False
4636,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,3.09,6.5,over,False
5057,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,4.81,7.5,over,False
5478,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,8.18,8.5,over,False
5899,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,1.47,3.5,over,False
6320,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Assists - Bradley Beal,1.18,2.5,over,False
6741,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocked Shots - Bradley Beal,2.1,0.5,over,False
7162,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocked Shots - Bradley Beal,4.25,1.5,over,False
7583,True,https://www.bodog.eu/sports/basketball/nba/washington-wizards-brooklyn-nets-202103211900,2021-03-21 00:00:00+00:00,Brooklyn Nets,Washington Wizards,0,Total Blocked Shots - Bradley Beal,7.0,2.5,over,False
