,isProps,link,startTime,home,away,period,betType,price,points,designation,live
0,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,1.97,1.5,over,
1,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,2.98,2.5,over,
2,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,6.43,3.5,over,
3,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,16.56,4.5,over,
4,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,30.0,5.5,over,
5,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,2.15,1.5,over,
6,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,2.64,2.5,over,
7,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,4.79,3.5,over,
8,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,10.33,4.5,over,
9,True,,2021-01-12 00:00:00+00:00,Dallas Mavericks,New Orleans Pelicans,0,Total Made 3 Point Shots - Eric Bledsoe,20.92,5.5,over,
10,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.78,8.5,over,False
322,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.89,9.5,over,False
634,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,2.52,10.5,over,False
946,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,3.62,11.5,over,False
1258,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,5.69,12.5,over,False
1570,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.4,7.5,over,False
1882,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.15,6.5,over,False
2194,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,1.5,0.5,over,False
2506,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,3.0,1.5,over,False
2818,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,5.88,2.5,over,False
3130,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,18.0,3.5,over,False
3442,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,1.91,10.5,over,False
3754,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,2.02,11.5,over,False
4066,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,2.48,12.5,over,False
4378,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,3.52,13.5,over,False
