,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,1600,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,Morehead State by 1 - 5,17.0,
1,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,2400,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,Morehead State by 6 - 10,25.0,
2,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,1600,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,Morehead State by 11 - 15,17.0,
3,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,2400,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,Morehead State by 16 - 20,25.0,
4,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,3400,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,Morehead State by 21+,35.0,
5,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,800,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,West Virginia by 1 - 5,9.0,
6,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,360,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,West Virginia by 6 - 10,4.6,
7,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,340,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,West Virginia by 11 - 15,4.4,
8,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,340,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,West Virginia by 16 - 20,4.4,
9,https://www.pinnacle.com/en/Basketball/NCAA/Morehead-State-by-6---10-vs-Morehead-State-by-1---5/1284434055,False,0,350,2021-03-20 00:00:00+00:00,Morehead State by 1 - 5,Morehead State by 6 - 10,Winning Margin Range,West Virginia by 21+,4.5,
10,https://www.pinnacle.com/en/Basketball/NCAA/Cal-Santa-Barbara-vs-Creighton/1284434320,False,0,145,2021-03-20 00:00:00+00:00,Creighton,Cal Santa Barbara,Total Made 3 Point Shots - Mitch Ballock,over,2.45,2.5
11,https://www.pinnacle.com/en/Basketball/NCAA/Cal-Santa-Barbara-vs-Creighton/1284434320,False,0,-201,2021-03-20 00:00:00+00:00,Creighton,Cal Santa Barbara,Total Made 3 Point Shots - Mitch Ballock,under,1.497,2.5
12,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,177,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Double-Double - Mason Plumlee,over,2.77,0.5
13,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,-255,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Double-Double - Mason Plumlee,under,1.393,0.5
14,https://www.pinnacle.com/en/Basketball/NCAA/North-Texas-vs-Purdue/1284432259,False,0,-140,2021-03-19 00:00:00+00:00,Purdue,North Texas,Total Made 3 Point Shots - Jaden Ivey,under,1.714,1.5
15,https://www.pinnacle.com/en/Basketball/NCAA/North-Texas-vs-Purdue/1284432259,False,0,105,2021-03-19 00:00:00+00:00,Purdue,North Texas,Total Made 3 Point Shots - Jaden Ivey,over,2.05,1.5
16,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,-180,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Turnovers - Kemba Walker,over,1.556,1.5
17,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,132,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Turnovers - Kemba Walker,under,2.32,1.5
18,https://www.pinnacle.com/en/Basketball/NCAA/No-vs-Yes/0,False,0,121,2021-03-20 00:00:00+00:00,Yes,No,Florida State makes Sweet 16(must start)?,No,2.21,
19,https://www.pinnacle.com/en/Basketball/NCAA/No-vs-Yes/0,False,0,-141,2021-03-20 00:00:00+00:00,Yes,No,Florida State makes Sweet 16(must start)?,Yes,1.709,
20,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-227,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,moneyline,Oregon,1.44,
21,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,191,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,moneyline,Va Commonwealth,2.91,
22,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-110,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,homeTotal,over,1.909,70.5
23,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-110,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,homeTotal,under,1.909,70.5
24,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-112,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,awayTotal,over,1.893,65.5
25,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-108,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,awayTotal,under,1.926,65.5
26,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-116,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.862,-5.0
27,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-101,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,1.99,5.0
28,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-166,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.603,-3.0
29,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,136,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,2.36,3.0
30,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-154,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.649,-3.5
31,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,127,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,2.27,3.5
32,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-141,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.709,-4.0
33,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,118,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,2.18,4.0
34,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-128,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.781,-4.5
35,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,109,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,2.09,4.5
36,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-106,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Oregon,1.943,-5.5
37,https://www.pinnacle.com/en/Basketball/NCAA/Va-Commonwealth-vs-Oregon/0,False,0,-111,2021-03-21 00:00:00+00:00,Oregon,Va Commonwealth,spread,Va Commonwealth,1.901,5.5
