,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Philadelphia-76ers/1286372110,False,0,-124,2021-03-21 00:00:00+00:00,Philadelphia 76ers,Sacramento Kings,"Total Points, Rebounds and Assists - Buddy Hield",over,1.807,24.5
1,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Philadelphia-76ers/1286372110,False,0,-107,2021-03-21 00:00:00+00:00,Philadelphia 76ers,Sacramento Kings,"Total Points, Rebounds and Assists - Buddy Hield",under,1.935,24.5
2,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,-121,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,"Total Points, Rebounds and Assists - Dennis Schroder",over,1.826,24.5
3,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,-110,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,"Total Points, Rebounds and Assists - Dennis Schroder",under,1.909,24.5
4,https://www.pinnacle.com/en/Basketball/NCAA/Drake-vs-USC/1287032567,False,0,-108,2021-03-20 00:00:00+00:00,USC,Drake,Total Rebounds - Isaiah Mobley,over,1.926,7.5
5,https://www.pinnacle.com/en/Basketball/NCAA/Drake-vs-USC/1287032567,False,0,-123,2021-03-20 00:00:00+00:00,USC,Drake,Total Rebounds - Isaiah Mobley,under,1.813,7.5
6,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-124,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Points - Giannis Antetokounmpo,over,1.807,29.5
7,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-107,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Points - Giannis Antetokounmpo,under,1.935,29.5
8,https://www.pinnacle.com/en/Basketball/Finland - Korisliiga/Kauhajoen-Karhu-vs-BC-Nokia/0,False,0,900,2021-03-21 00:00:00+00:00,BC Nokia,Kauhajoen Karhu,moneyline,BC Nokia,10.0,
9,https://www.pinnacle.com/en/Basketball/Finland - Korisliiga/Kauhajoen-Karhu-vs-BC-Nokia/0,False,0,-1477,2021-03-21 00:00:00+00:00,BC Nokia,Kauhajoen Karhu,moneyline,Kauhajoen Karhu,1.067,
10,https://www.pinnacle.com/en/Basketball/Finland - Korisliiga/Kauhajoen-Karhu-vs-BC-Nokia/0,False,0,-124,2021-03-21 00:00:00+00:00,BC Nokia,Kauhajoen Karhu,homeTotal,over,1.807,73.5
11,https://www.pinnacle.com/en/Basketball/Finland - Korisliiga/Kauhajoen-Karhu-vs-BC-Nokia/0,False,0,-102,2021-03-21 00:00:00+00:00,BC Nokia,Kauhajoen Karhu,homeTotal,under,1.98,73.5
