,link,period,home,away,startTime,betType,price,points,designation,live
0,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.87,6.5,over,True
1,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,spread,1.455,3.5,Minnesota Wild,True
2,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.294,6.0,over,True
3,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,2.85,7.0,over,True
4,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.167,5.5,over,True
5,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,3.8,7.5,over,True
6,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,moneyline,7.6,0.0,Minnesota Wild,True
7,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,spread,1.476,1.5,Minnesota Wild,True
8,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.87,2.5,over,True
9,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.303,2.0,over,True
10,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,2.9,3.0,over,True
11,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.167,1.5,over,True
12,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,3.85,3.5,over,True
13,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.8,6.5,under,True
14,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,spread,2.55,-3.5,Colorado Avalanche,True
15,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,3.2,6.0,under,True
16,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.357,7.0,under,True
17,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,4.6,5.5,under,True
18,https://sports.betway.com/en/sports/evt/7351922,0,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.222,7.5,under,True
19,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,moneyline,1.077,0.0,Colorado Avalanche,True
20,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,spread,2.5,-1.5,Colorado Avalanche,True
21,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.8,2.5,under,True
22,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,3.15,2.0,under,True
23,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.345,3.0,under,True
24,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,4.6,1.5,under,True
25,https://sports.betway.com/en/sports/evt/7351922,3,Colorado Avalanche,Minnesota Wild,2021-03-19 00:00:00+00:00,total,1.217,3.5,under,True
26,https://sports.betway.com/en/sports/evt/7351923,0,Edmonton Oilers,Winnipeg Jets,2021-03-19 00:00:00+00:00,Win/Draw/Win,12.0,0.0,Winnipeg Jets,True
27,https://sports.betway.com/en/sports/evt/7351923,0,Edmonton Oilers,Winnipeg Jets,2021-03-19 00:00:00+00:00,moneyline,5.0,0.0,Winnipeg Jets,True
28,https://sports.betway.com/en/sports/evt/7351923,0,Edmonton Oilers,Winnipeg Jets,2021-03-19 00:00:00+00:00,total,1.556,4.5,over,True
