,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link
0,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,0,moneyline,2021-03-19 00:00:00+00:00,1.55,Montreal Canadiens,0,False,https://www.coolbet.com/ca/sports/match/1549263
1,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,0,moneyline,2021-03-19 00:00:00+00:00,2.55,Vancouver Canucks,0,False,https://www.coolbet.com/ca/sports/match/1549263
2,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,2.5,total,2021-03-19 00:00:00+00:00,1.04,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
3,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,2.5,total,2021-03-19 00:00:00+00:00,10,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
4,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,3.5,total,2021-03-19 00:00:00+00:00,1.13,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
5,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,3.5,total,2021-03-19 00:00:00+00:00,5.8,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
6,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,4.5,total,2021-03-19 00:00:00+00:00,1.35,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
7,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,4.5,total,2021-03-19 00:00:00+00:00,3.2,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
8,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,5.5,total,2021-03-19 00:00:00+00:00,1.72,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
9,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,5.5,total,2021-03-19 00:00:00+00:00,2.18,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
10,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,6.5,total,2021-03-19 00:00:00+00:00,2.35,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
11,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,6.5,total,2021-03-19 00:00:00+00:00,1.6,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
12,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,7.5,total,2021-03-19 00:00:00+00:00,3.35,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
13,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,7.5,total,2021-03-19 00:00:00+00:00,1.32,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
14,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,8.5,total,2021-03-19 00:00:00+00:00,5.6,over,6,False,https://www.coolbet.com/ca/sports/match/1549263
15,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,8.5,total,2021-03-19 00:00:00+00:00,1.1400000000000001,under,6,False,https://www.coolbet.com/ca/sports/match/1549263
16,1549263,OPEN,OPEN,OPEN,Montreal Canadiens,Vancouver Canucks,-2.5,spread,2021-03-19 00:00:00+00:00,3.45,Montreal Canadiens,0,False,https://www.coolbet.com/ca/sports/match/1549263
