,isProps,link,startTime,home,away,period,betType,price,points,designation,live
0,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 2.5,4.67,2.5,over,
1,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 2.5,8.0,2.5,over,
2,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Goals Over/Under 0.5,4.0,0.5,over,False
251,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Goals Over/Under 1.5,16.0,1.5,over,False
500,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Goals Over/Under 2.5,80.0,2.5,over,False
749,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Assists Over/Under 0.5,1.65,0.5,over,False
998,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Assists Over/Under 1.5,3.5,1.5,over,False
1247,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Points Over/Under 0.5,1.39,0.5,over,False
1496,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Points Over/Under 1.5,2.31,1.5,over,False
1745,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Points Over/Under 2.5,4.79,2.5,over,False
1994,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Points Over/Under 3.5,10.86,3.5,over,False
2243,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Points Over/Under 4.5,35.0,4.5,over,False
2492,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 1.5,1.64,1.5,over,False
2741,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 2.5,2.0,2.5,over,False
2990,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 3.5,3.46,3.5,over,False
3239,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 4.5,6.22,4.5,over,False
3488,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 5.5,11.14,5.5,over,False
3737,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Anze Kopitar Total Shots on goal Over/Under 6.5,18.73,6.5,over,False
3986,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Dustin Brown Total Goals Over/Under 0.5,3.0,0.5,over,False
4235,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Dustin Brown Total Goals Over/Under 1.5,12.0,1.5,over,False
4484,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Dustin Brown Total Goals Over/Under 2.5,60.0,2.5,over,False
4733,True,https://www.bodog.eu/sports/hockey/nhl/vegas-golden-knights-los-angeles-kings-202103211808,2021-03-21 00:00:00+00:00,Los Angeles Kings,Vegas Golden Knights,0,Dustin Brown Total Assists Over/Under 0.5,3.5,0.5,over,False
