,isProps,link,startTime,home,away,period,betType,price,points,designation,live
3277,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Shots on goal Over/Under 1.5,1.74,1.5,over,False
3408,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Shots on goal Over/Under 2.5,2.51,2.5,over,False
3539,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Shots on goal Over/Under 3.5,4.51,3.5,over,False
3670,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Shots on goal Over/Under 4.5,8.77,4.5,over,False
3801,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Shots on goal Over/Under 5.5,16.61,5.5,over,False
3932,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Goals Over/Under 0.5,7.0,0.5,over,False
4063,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Goals Over/Under 1.5,28.0,1.5,over,False
4194,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Goals Over/Under 2.5,140.0,2.5,over,False
4325,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Assists Over/Under 0.5,2.5,0.5,over,False
4456,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Assists Over/Under 1.5,10.0,1.5,over,False
4587,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Points Over/Under 0.5,1.83,0.5,over,False
4718,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Points Over/Under 1.5,6.44,1.5,over,False
4849,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Points Over/Under 2.5,20.0,2.5,over,False
4980,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Points Over/Under 3.5,50.0,3.5,over,False
5111,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Points Over/Under 4.5,126.0,4.5,over,False
5242,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 2.5,2.1,2.5,over,False
5373,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 3.5,3.46,3.5,over,False
5504,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 4.5,6.22,4.5,over,False
5635,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Thomas Chabot Total Shots on goal Over/Under 5.5,11.14,5.5,over,False
