,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps
0,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+135,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,moneyline,2.35,0.0,Calgary Flames,False,False
1,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-155,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,moneyline,1.6451612903225805,0.0,Toronto Maple Leafs,False,False
2,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-180,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,1.5555555555555556,1.5,Calgary Flames,False,False
3,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+160,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,2.6,-1.5,Toronto Maple Leafs,False,False
4,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-120,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.8333333333333335,6.0,over,False,False
5,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,EVEN,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,2.0,6.0,under,False,False
6,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+120,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,moneyline,2.2,0.0,Calgary Flames,False,False
7,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-155,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,moneyline,1.6451612903225805,0.0,Toronto Maple Leafs,False,False
8,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-185,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,spread,1.5405405405405406,0.5,Calgary Flames,False,False
9,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+140,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,spread,2.4,-0.5,Toronto Maple Leafs,False,False
10,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-135,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,total,1.7407407407407407,1.5,over,False,False
11,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+105,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,total,2.05,1.5,under,False,False
12,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+115,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,moneyline,2.15,0.0,Calgary Flames,False,False
13,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-150,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,moneyline,1.6666666666666665,0.0,Toronto Maple Leafs,False,False
14,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-170,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,spread,1.5882352941176472,0.5,Calgary Flames,False,False
15,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+130,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,spread,2.3,-0.5,Toronto Maple Leafs,False,False
16,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-185,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,total,1.5405405405405406,1.5,over,False,False
17,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+140,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,2,total,2.4,1.5,under,False,False
18,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+120,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,moneyline,2.2,0.0,Calgary Flames,False,False
19,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-155,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,moneyline,1.6451612903225805,0.0,Toronto Maple Leafs,False,False
20,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-160,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,spread,1.625,0.5,Calgary Flames,False,False
21,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+120,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,spread,2.2,-0.5,Toronto Maple Leafs,False,False
22,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-200,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,total,1.5,1.5,over,False,False
23,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+150,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,3,total,2.5,1.5,under,False,False
24,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+205,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,6,moneyline,3.05,0.0,Calgary Flames,False,False
25,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-105,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,6,moneyline,1.9523809523809523,0.0,Toronto Maple Leafs,False,False
26,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+320,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,6,moneyline,4.2,0.0,Draw,False,False
27,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+220,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,moneyline,3.2,0.0,Calgary Flames,False,False
28,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+140,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,moneyline,2.4,0.0,Toronto Maple Leafs,False,False
29,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+185,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,1,moneyline,2.85,0.0,Draw,False,False
30,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-475,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.2105263157894737,4.5,over,False,False
31,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+310,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,4.1,4.5,under,False,False
32,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-125,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.8,6.0,over,False,False
33,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-105,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.9523809523809523,6.0,under,False,False
34,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-105,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.9523809523809523,6.5,over,False,False
35,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-125,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.8,6.5,under,False,False
36,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+170,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,2.7,7.0,over,False,False
37,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-230,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.434782608695652,7.0,under,False,False
38,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+230,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,3.3,7.5,over,False,False
39,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-320,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.3125,7.5,under,False,False
40,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-130,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.7692307692307692,2.5,over,False,False
41,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,EVEN,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,2.0,2.5,under,False,False
42,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-105,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.9523809523809523,3.5,over,False,False
43,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-125,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,total,1.8,3.5,under,False,False
44,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+340,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,4.4,-1.5,Calgary Flames,False,False
45,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-525,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,1.1904761904761905,1.5,Toronto Maple Leafs,False,False
46,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-340,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,1.2941176470588236,2.5,Calgary Flames,False,False
47,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+240,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,spread,3.4,-2.5,Toronto Maple Leafs,False,False
48,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-240,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Team scoring first wins the game?,1.4166666666666667,0.0,Yes,False,False
49,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+175,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Team scoring first wins the game?,2.75,0.0,No,False,False
50,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,-150,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Score In The First 9m30s Of The 1st Period,1.6666666666666665,0.0,Yes,False,False
51,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+115,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Score In The First 9m30s Of The 1st Period,2.15,0.0,No,False,False
52,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+6000,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,61.0,0.0,1-0 Flames,False,False
53,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+6000,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,61.0,0.0,2-0 Flames,False,False
54,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+5000,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,51.0,0.0,3-0 Flames,False,False
55,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+6500,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,66.0,0.0,4-0 Flames,False,False
56,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+12500,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,126.0,0.0,5-0 Flames,False,False
57,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+15000,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,151.0,0.0,6-0 Flames,False,False
58,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+1800,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,19.0,0.0,2-1 Flames,False,False
59,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-toronto-maple-leafs-202103191908,+262,2021-03-19 00:00:00+00:00,Toronto Maple Leafs,Calgary Flames,0,Correct Score,3.62,0.0,3-1 Flames,False,False
