,isProps,link,startTime,home,away,period,betType,price,points,designation,live
0,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 2.5,4.67,2.5,over,
1,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 1.5,1.95,1.5,over,
2,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 2.5,4.36,2.5,over,
3,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 3.5,11.72,3.5,over,
4,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 4.5,35.0,4.5,over,
5,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 0.5,1.26,0.5,over,
6,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 2.5,8.0,2.5,over,
7,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 0.5,3.5,0.5,over,
8,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 1.5,14.0,1.5,over,
9,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 2.5,70.0,2.5,over,
10,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Goals Over/Under 0.5,4.0,0.5,over,False
258,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Goals Over/Under 1.5,16.0,1.5,over,False
506,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Goals Over/Under 2.5,80.0,2.5,over,False
754,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Assists Over/Under 0.5,3.0,0.5,over,False
1002,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Assists Over/Under 1.5,15.0,1.5,over,False
1250,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Points Over/Under 0.5,2.26,0.5,over,False
1498,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Points Over/Under 1.5,6.57,1.5,over,False
1746,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Points Over/Under 2.5,20.0,2.5,over,False
1994,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Points Over/Under 3.5,50.0,3.5,over,False
2242,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Points Over/Under 4.5,126.0,4.5,over,False
2490,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 2.5,1.7,2.5,over,False
2738,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 3.5,3.1,3.5,over,False
2986,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 4.5,5.62,4.5,over,False
3234,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 5.5,10.41,5.5,over,False
3482,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 6.5,18.18,6.5,over,False
3730,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Kyle Palmieri Total Shots on goal Over/Under 1.5,1.3,1.5,over,False
3978,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Goals Over/Under 0.5,3.5,0.5,over,False
4226,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Goals Over/Under 1.5,14.0,1.5,over,False
4474,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Goals Over/Under 2.5,70.0,2.5,over,False
4722,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Assists Over/Under 0.5,4.0,0.5,over,False
4970,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Assists Over/Under 1.5,20.0,1.5,over,False
5218,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Points Over/Under 0.5,2.01,0.5,over,False
5466,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Points Over/Under 1.5,7.19,1.5,over,False
5714,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Points Over/Under 2.5,25.0,2.5,over,False
5962,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Points Over/Under 3.5,60.0,3.5,over,False
6210,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Points Over/Under 4.5,151.0,4.5,over,False
6458,True,https://www.bodog.eu/sports/hockey/nhl/new-jersey-devils-philadelphia-flyers-202103231908,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,0,Miles Wood Total Shots on goal Over/Under 1.5,1.56,1.5,over,False
