,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Hockey/NHL/New-Jersey-Devils-vs-Philadelphia-Flyers/1288750131,False,0,238,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,Sean Couturier Total Goals Over/Under 0.5,over,3.38,0.5
1,https://www.pinnacle.com/en/Hockey/NHL/New-Jersey-Devils-vs-Philadelphia-Flyers/1288750131,False,0,-378,2021-03-23 00:00:00+00:00,Philadelphia Flyers,New Jersey Devils,Sean Couturier Total Goals Over/Under 0.5,under,1.265,0.5
2,https://www.pinnacle.com/en/Hockey/NHL/Tampa-Bay-Lightning-vs-Dallas-Stars/1288783872,False,0,238,2021-03-24 00:00:00+00:00,Dallas Stars,Tampa Bay Lightning,Ondrej Palat Total Goals Over/Under 0.5,over,3.38,0.5
3,https://www.pinnacle.com/en/Hockey/NHL/Tampa-Bay-Lightning-vs-Dallas-Stars/1288783872,False,0,-378,2021-03-24 00:00:00+00:00,Dallas Stars,Tampa Bay Lightning,Ondrej Palat Total Goals Over/Under 0.5,under,1.265,0.5
4,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1288822021,False,0,122,2021-03-24 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Nick Schmaltz Total Points Over/Under 0.5,over,2.22,0.5
5,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1288822021,False,0,-164,2021-03-24 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Nick Schmaltz Total Points Over/Under 0.5,under,1.609,0.5
6,https://www.pinnacle.com/en/Hockey/NHL Alternate Lines/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,-304,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,spread,San Jose Sharks,1.329,1.5
7,https://www.pinnacle.com/en/Hockey/NHL Alternate Lines/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,228,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,spread,Los Angeles Kings,3.28,-1.5
8,https://www.pinnacle.com/en/Hockey/NHL Alternate Lines/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,450,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,total,over,5.5,8.5
9,https://www.pinnacle.com/en/Hockey/NHL Alternate Lines/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,-753,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,total,under,1.133,8.5
