,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Hockey/NHL/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,142,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,Timo Meier Total Assists Over/Under 0.5,over,2.42,0.5
1,https://www.pinnacle.com/en/Hockey/NHL/Los-Angeles-Kings-vs-San-Jose-Sharks/1289794791,False,0,-196,2021-03-25 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,Timo Meier Total Assists Over/Under 0.5,under,1.51,0.5
2,https://www.pinnacle.com/en/Hockey/NHL/Buffalo-Sabres-vs-Pittsburgh-Penguins/1289738632,False,0,-144,2021-03-25 00:00:00+00:00,Pittsburgh Penguins,Buffalo Sabres,Rasmus Ristolainen Shots on Goal Over/Under 1.5,over,1.694,1.5
3,https://www.pinnacle.com/en/Hockey/NHL/Buffalo-Sabres-vs-Pittsburgh-Penguins/1289738632,False,0,108,2021-03-25 00:00:00+00:00,Pittsburgh Penguins,Buffalo Sabres,Rasmus Ristolainen Shots on Goal Over/Under 1.5,under,2.08,1.5
4,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,224,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Kevin Fiala Total Assists Over/Under 0.5,over,3.24,0.5
5,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,-354,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Kevin Fiala Total Assists Over/Under 0.5,under,1.282,0.5
6,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,312,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Adam Henrique Total Goals Over/Under 0.5,over,4.12,0.5
7,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,-567,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Adam Henrique Total Goals Over/Under 0.5,under,1.177,0.5
8,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,192,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Rickard Rakell Total Assists Over/Under 0.5,over,2.92,0.5
9,https://www.pinnacle.com/en/Hockey/NHL/Anaheim-Ducks-vs-Minnesota-Wild/1289672525,False,0,-283,2021-03-24 00:00:00+00:00,Minnesota Wild,Anaheim Ducks,Rickard Rakell Total Assists Over/Under 0.5,under,1.354,0.5
10,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,151,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,moneyline,Ottawa Senators,2.51,
11,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-168,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,moneyline,Calgary Flames,1.596,
12,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-106,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,homeTotal,over,1.943,2.5
13,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-108,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,homeTotal,under,1.926,2.5
14,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,107,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,awayTotal,over,2.07,3.5
15,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-123,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,awayTotal,under,1.813,3.5
16,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-159,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Ottawa Senators,1.629,1.5
17,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,143,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Calgary Flames,2.43,-1.5
18,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-322,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Ottawa Senators,1.311,2.5
19,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,263,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Calgary Flames,3.63,-2.5
20,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-240,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Ottawa Senators,1.417,2.0
21,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,206,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Calgary Flames,3.06,-2.0
22,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-102,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Ottawa Senators,1.98,1.0
23,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-110,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Calgary Flames,1.909,-1.0
24,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,261,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Ottawa Senators,3.61,-1.0
25,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-318,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,spread,Calgary Flames,1.314,1.0
26,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-102,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,over,1.98,6.0
27,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-110,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,under,1.909,6.0
28,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-276,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,over,1.362,5.0
29,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,224,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,under,3.24,5.0
30,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-137,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,over,1.7295,5.5
31,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,119,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,under,2.19,5.5
32,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,127,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,over,2.27,6.5
33,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,-147,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,under,1.681,6.5
34,https://www.pinnacle.com/en/Hockey/NHL/Calgary-Flames-vs-Ottawa-Senators/0,False,0,203,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,total,over,3.03,7.0
