,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps
0,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-145,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,moneyline,1.6896551724137931,0.0,Vancouver Canucks,False,False
1,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,+125,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,moneyline,2.25,0.0,Ottawa Senators,False,False
2,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,+165,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,spread,2.65,-1.5,Vancouver Canucks,False,False
3,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-190,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,spread,1.526315789473684,1.5,Ottawa Senators,False,False
4,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-105,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,total,1.9523809523809523,6.5,over,False,False
5,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-115,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,0,total,1.8695652173913042,6.5,under,False,False
6,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-150,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,moneyline,1.6666666666666665,0.0,Vancouver Canucks,False,False
7,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,+115,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,moneyline,2.15,0.0,Ottawa Senators,False,False
8,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,+140,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,spread,2.4,-0.5,Vancouver Canucks,False,False
9,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-185,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,spread,1.5405405405405406,0.5,Ottawa Senators,False,False
10,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-150,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,total,1.6666666666666665,1.5,over,False,False
11,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,+115,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,1,total,2.15,1.5,under,False,False
12,https://www.bodog.eu/sports/hockey/nhl/vancouver-canucks-ottawa-senators-202103171908,-150,2021-03-17 00:00:00+00:00,Ottawa Senators,Vancouver Canucks,2,moneyline,1.6666666666666665,0.0,Vancouver Canucks,False,False
