,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
17,118,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,8.5,Total Rebounds - DeAndre Jordan,2021-03-21 00:00:00+00:00,1.7000000000000002,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,DeAndre Jordan,REB,DeAndre Jordan,REB,5.0
18,119,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,6.5,Total Rebounds - Rui Hachimura,2021-03-21 00:00:00+00:00,1.82,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Rui Hachimura,REB,Rui Hachimura,REB,10.0
19,120,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,6.5,Total Rebounds - Rui Hachimura,2021-03-21 00:00:00+00:00,1.92,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Rui Hachimura,REB,Rui Hachimura,REB,10.0
20,121,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,9.5,Total Rebounds - James Harden,2021-03-21 00:00:00+00:00,2.05,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,James Harden,REB,James Harden,REB,5.0
21,122,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,9.5,Total Rebounds - James Harden,2021-03-21 00:00:00+00:00,1.7000000000000002,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,James Harden,REB,James Harden,REB,5.0
22,123,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,9.5,Total Rebounds - Russell Westbrook,2021-03-21 00:00:00+00:00,1.94,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Russell Westbrook,REB,Russell Westbrook,REB,13.0
23,124,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,9.5,Total Rebounds - Russell Westbrook,2021-03-21 00:00:00+00:00,1.8,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Russell Westbrook,REB,Russell Westbrook,REB,13.0
24,125,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,11.0,Total Assists - Russell Westbrook,2021-03-21 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Russell Westbrook,AST,Russell Westbrook,AST,13.0
25,126,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,11.0,Total Assists - Russell Westbrook,2021-03-21 00:00:00+00:00,1.78,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Russell Westbrook,AST,Russell Westbrook,AST,13.0
26,127,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,4.5,Total Assists - Bradley Beal,2021-03-21 00:00:00+00:00,1.8,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Bradley Beal,AST,Bradley Beal,AST,5.0
27,128,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,4.5,Total Assists - Bradley Beal,2021-03-21 00:00:00+00:00,1.94,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Bradley Beal,AST,Bradley Beal,AST,5.0
28,129,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,11.5,Total Assists - James Harden,2021-03-21 00:00:00+00:00,1.94,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,James Harden,AST,James Harden,AST,8.0
29,130,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,11.5,Total Assists - James Harden,2021-03-21 00:00:00+00:00,1.8,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,James Harden,AST,James Harden,AST,8.0
30,131,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,5.5,Total Assists - Kyrie Irving,2021-03-21 00:00:00+00:00,1.72,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Kyrie Irving,AST,Kyrie Irving,AST,6.0
31,132,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,5.5,Total Assists - Kyrie Irving,2021-03-21 00:00:00+00:00,2.02,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Kyrie Irving,AST,Kyrie Irving,AST,6.0
32,133,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,2.5,Total Made 3 Point Shots - Kyrie Irving,2021-03-21 00:00:00+00:00,1.6,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Kyrie Irving,FG3M,Kyrie Irving,FG3M,1.0
33,134,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,2.5,Total Made 3 Point Shots - Kyrie Irving,2021-03-21 00:00:00+00:00,2.2,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Kyrie Irving,FG3M,Kyrie Irving,FG3M,1.0
34,135,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,1.5,Total Made 3 Point Shots - Russell Westbrook,2021-03-21 00:00:00+00:00,2.02,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Russell Westbrook,FG3M,Russell Westbrook,FG3M,2.0
35,136,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,1.5,Total Made 3 Point Shots - Russell Westbrook,2021-03-21 00:00:00+00:00,1.72,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Russell Westbrook,FG3M,Russell Westbrook,FG3M,2.0
36,137,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,2.5,Total Made 3 Point Shots - Bradley Beal,2021-03-21 00:00:00+00:00,1.75,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Bradley Beal,FG3M,Bradley Beal,FG3M,1.0
37,138,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,2.5,Total Made 3 Point Shots - Bradley Beal,2021-03-21 00:00:00+00:00,2.0,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Bradley Beal,FG3M,Bradley Beal,FG3M,1.0
38,139,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,3.5,Total Made 3 Point Shots - James Harden,2021-03-21 00:00:00+00:00,2.33,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,James Harden,FG3M,James Harden,FG3M,3.0
