,Unnamed: 0,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,2,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,-121,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,"Total Points, Rebounds and Assists - Dennis Schroder",over,1.8259999999999998,24.5,2021-03-20 00:00:00+00:00,1,Dennis Schroder,PRA,Dennis Schroder,PRA,27.0
1,3,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,-110,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,"Total Points, Rebounds and Assists - Dennis Schroder",under,1.909,24.5,2021-03-20 00:00:00+00:00,0,Dennis Schroder,PRA,Dennis Schroder,PRA,27.0
2,6,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-124,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Points - Giannis Antetokounmpo,over,1.807,29.5,2021-03-20 00:00:00+00:00,0,Giannis Antetokounmpo,PTS,Giannis Antetokounmpo,PTS,26.0
3,7,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-107,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Points - Giannis Antetokounmpo,under,1.935,29.5,2021-03-20 00:00:00+00:00,1,Giannis Antetokounmpo,PTS,Giannis Antetokounmpo,PTS,26.0
4,162,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-112,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Assists - DeMar DeRozan,over,1.893,6.5,2021-03-20 00:00:00+00:00,1,DeMar DeRozan,AST,DeMar DeRozan,AST,13.0
5,163,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Milwaukee-Bucks/1286397552,False,0,-118,2021-03-21 00:00:00+00:00,Milwaukee Bucks,San Antonio Spurs,Total Assists - DeMar DeRozan,under,1.848,6.5,2021-03-20 00:00:00+00:00,0,DeMar DeRozan,AST,DeMar DeRozan,AST,13.0
6,164,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1286372109,False,0,-123,2021-03-21 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,"Total Points, Rebounds and Assists - Jonas Valanciunas",over,1.8130000000000002,31.5,2021-03-20 00:00:00+00:00,1,Jonas Valanciunas,PRA,Jonas Valanciunas,PRA,35.0
7,165,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1286372109,False,0,-108,2021-03-21 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,"Total Points, Rebounds and Assists - Jonas Valanciunas",under,1.926,31.5,2021-03-20 00:00:00+00:00,0,Jonas Valanciunas,PRA,Jonas Valanciunas,PRA,35.0
8,166,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,121,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,Total Turnovers - Trae Young,over,2.21,4.5,2021-03-20 00:00:00+00:00,0,Trae Young,TOV,Trae Young,TOV,2.0
9,167,https://www.pinnacle.com/en/Basketball/NBA/Atlanta-Hawks-vs-Los-Angeles-Lakers/1286213402,False,0,-163,2021-03-20 00:00:00+00:00,Los Angeles Lakers,Atlanta Hawks,Total Turnovers - Trae Young,under,1.6130000000000002,4.5,2021-03-20 00:00:00+00:00,1,Trae Young,TOV,Trae Young,TOV,2.0
