,Unnamed: 0,isProps,link,startTime,home,away,period,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,1145,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,1.99,18.5,over,False,2021-03-19 00:00:00+00:00,1,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
1,1483,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,2.24,20.5,over,False,2021-03-19 00:00:00+00:00,1,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
2,1821,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,3.01,22.5,over,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
3,2159,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,4.19,24.5,over,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
4,2497,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,5.84,26.5,over,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
5,2835,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,8.14,28.5,over,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
6,3173,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,14.75,30.5,over,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
7,3511,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,1.77,16.5,over,False,2021-03-19 00:00:00+00:00,1,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
8,3849,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,1.3,14.5,over,False,2021-03-19 00:00:00+00:00,1,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
9,1353306,True,https://www.bodog.eu/sports/basketball/nba/san-antonio-spurs-cleveland-cavaliers-202103191930,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,0,Total Points - Dejounte Murray,2.0,16.5,under,False,2021-03-19 00:00:00+00:00,0,Dejounte Murray,PTS,Dejounte Murray,PTS,22.0
