,Unnamed: 0,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,76,https://www.pinnacle.com/en/Basketball/NBA/Philadelphia-76ers-vs-Golden-State-Warriors/1288822025,False,0,-117,2021-03-24 00:00:00+00:00,Golden State Warriors,Philadelphia 76ers,"Total Points, Rebounds and Assists - Andrew Wiggins",over,1.8545,26.5,2021-03-23 00:00:00+00:00,0,Andrew Wiggins,PRA,Andrew Wiggins,PRA,17.0
1,77,https://www.pinnacle.com/en/Basketball/NBA/Philadelphia-76ers-vs-Golden-State-Warriors/1288822025,False,0,-113,2021-03-24 00:00:00+00:00,Golden State Warriors,Philadelphia 76ers,"Total Points, Rebounds and Assists - Andrew Wiggins",under,1.885,26.5,2021-03-23 00:00:00+00:00,1,Andrew Wiggins,PRA,Andrew Wiggins,PRA,17.0
2,80,https://www.pinnacle.com/en/Basketball/NBA/Denver-Nuggets-vs-Orlando-Magic/1288750134,False,0,-158,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,Total Turnovers - Evan Fournier,over,1.633,1.5,2021-03-23 00:00:00+00:00,0,Evan Fournier,TOV,Evan Fournier,TOV,1.0
3,81,https://www.pinnacle.com/en/Basketball/NBA/Denver-Nuggets-vs-Orlando-Magic/1288750134,False,0,118,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,Total Turnovers - Evan Fournier,under,2.18,1.5,2021-03-23 00:00:00+00:00,1,Evan Fournier,TOV,Evan Fournier,TOV,1.0
4,84,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Portland-Trail-Blazers/1288822022,False,0,130,2021-03-24 00:00:00+00:00,Portland Trail Blazers,Brooklyn Nets,Total Rebounds - Derrick Jones Jr.,over,2.3,4.5,2021-03-23 00:00:00+00:00,0,Derrick Jones Jr.,REB,Derrick Jones Jr.,REB,2.0
5,85,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Portland-Trail-Blazers/1288822022,False,0,-177,2021-03-24 00:00:00+00:00,Portland Trail Blazers,Brooklyn Nets,Total Rebounds - Derrick Jones Jr.,under,1.565,4.5,2021-03-23 00:00:00+00:00,1,Derrick Jones Jr.,REB,Derrick Jones Jr.,REB,2.0
6,88,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,-138,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Total Assists - Jimmy Butler,over,1.725,6.5,2021-03-23 00:00:00+00:00,0,Jimmy Butler,AST,Jimmy Butler,AST,1.0
7,89,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,103,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Total Assists - Jimmy Butler,under,2.03,6.5,2021-03-23 00:00:00+00:00,1,Jimmy Butler,AST,Jimmy Butler,AST,1.0
8,90,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,-185,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Total Turnovers - Jae Crowder,over,1.541,0.5,2021-03-23 00:00:00+00:00,0,Jae Crowder,TOV,Jae Crowder,TOV,0.0
9,91,https://www.pinnacle.com/en/Basketball/NBA/Phoenix-Suns-vs-Miami-Heat/1288771524,False,0,136,2021-03-24 00:00:00+00:00,Miami Heat,Phoenix Suns,Total Turnovers - Jae Crowder,under,2.36,0.5,2021-03-23 00:00:00+00:00,1,Jae Crowder,TOV,Jae Crowder,TOV,0.0
