,Unnamed: 0,link,period,home,away,startTime,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,380,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Jayson Tatum,1.952,0.0,over,False,2021-03-19 00:00:00+00:00,1,Jayson Tatum,PTS,Jayson Tatum,PTS,15.0
1,381,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Jayson Tatum,1.87,0.0,under,False,2021-03-19 00:00:00+00:00,0,Jayson Tatum,PTS,Jayson Tatum,PTS,15.0
2,382,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Jaylen Brown,1.952,0.0,over,False,2021-03-19 00:00:00+00:00,1,Jaylen Brown,PTS,Jaylen Brown,PTS,19.0
3,383,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Jaylen Brown,1.87,0.0,under,False,2021-03-19 00:00:00+00:00,0,Jaylen Brown,PTS,Jaylen Brown,PTS,19.0
4,384,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - De'Aaron Fox,1.87,0.0,over,False,2021-03-19 00:00:00+00:00,1,De'Aaron Fox,PTS,De'Aaron Fox,PTS,29.0
5,385,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - De'Aaron Fox,1.952,0.0,under,False,2021-03-19 00:00:00+00:00,0,De'Aaron Fox,PTS,De'Aaron Fox,PTS,29.0
6,386,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Kemba Walker,1.909,0.0,over,False,2021-03-19 00:00:00+00:00,1,Kemba Walker,PTS,Kemba Walker,PTS,16.0
7,387,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Kemba Walker,1.909,0.0,under,False,2021-03-19 00:00:00+00:00,0,Kemba Walker,PTS,Kemba Walker,PTS,16.0
8,388,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Buddy Hield,1.87,0.0,over,False,2021-03-19 00:00:00+00:00,1,Buddy Hield,PTS,Buddy Hield,PTS,22.0
9,389,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Buddy Hield,1.952,0.0,under,False,2021-03-19 00:00:00+00:00,0,Buddy Hield,PTS,Buddy Hield,PTS,22.0
10,390,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Harrison Barnes,1.909,0.0,over,False,2021-03-19 00:00:00+00:00,1,Harrison Barnes,PTS,Harrison Barnes,PTS,15.0
11,391,https://sports.betway.com/en/sports/evt/7357329,0,Boston Celtics,Sacramento Kings,2021-03-19 00:00:00+00:00,Total Points - Harrison Barnes,1.909,0.0,under,False,2021-03-19 00:00:00+00:00,0,Harrison Barnes,PTS,Harrison Barnes,PTS,15.0
