,Unnamed: 0,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,7317,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-120,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Buddy Hield,1.8333333333333333,16.5,over,False,False,2021-03-19 00:00:00+00:00,1,Buddy Hield,PTS,Buddy Hield,PTS,22.0
1,7318,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-110,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Buddy Hield,1.9090909090909087,16.5,under,False,False,2021-03-19 00:00:00+00:00,0,Buddy Hield,PTS,Buddy Hield,PTS,22.0
2,7319,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-110,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Daniel Theis,1.9090909090909087,9.5,over,False,False,2021-03-19 00:00:00+00:00,1,Daniel Theis,PTS,Daniel Theis,PTS,14.0
3,7320,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-120,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Daniel Theis,1.8333333333333333,9.5,under,False,False,2021-03-19 00:00:00+00:00,0,Daniel Theis,PTS,Daniel Theis,PTS,14.0
4,7321,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-120,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - De'Aaron Fox,1.8333333333333333,25.0,over,False,False,2021-03-19 00:00:00+00:00,1,De'Aaron Fox,PTS,De'Aaron Fox,PTS,29.0
5,7322,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-110,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - De'Aaron Fox,1.9090909090909087,25.0,under,False,False,2021-03-19 00:00:00+00:00,0,De'Aaron Fox,PTS,De'Aaron Fox,PTS,29.0
6,7323,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-115,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Harrison Barnes,1.869565217391304,15.5,over,False,False,2021-03-19 00:00:00+00:00,0,Harrison Barnes,PTS,Harrison Barnes,PTS,15.0
7,7324,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-115,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Harrison Barnes,1.869565217391304,15.5,under,False,False,2021-03-19 00:00:00+00:00,1,Harrison Barnes,PTS,Harrison Barnes,PTS,15.0
8,7325,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-110,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Jaylen Brown,1.9090909090909087,24.5,over,False,False,2021-03-19 00:00:00+00:00,0,Jaylen Brown,PTS,Jaylen Brown,PTS,19.0
9,7326,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-120,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Jaylen Brown,1.8333333333333333,24.5,under,False,False,2021-03-19 00:00:00+00:00,1,Jaylen Brown,PTS,Jaylen Brown,PTS,19.0
10,7327,https://www.bodog.eu/sports/basketball/nba/sacramento-kings-boston-celtics-202103191930,-125,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,0,Total Points - Jayson Tatum,1.8,26.5,over,False,False,2021-03-19 00:00:00+00:00,0,Jayson Tatum,PTS,Jayson Tatum,PTS,15.0
