,Unnamed: 0,isProps,link,startTime,home,away,period,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,5,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,1.91,23.5,over,False,2021-03-24 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,29.0
1,243,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,2.14,25.5,over,False,2021-03-24 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,29.0
2,481,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,2.41,27.5,over,False,2021-03-24 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,29.0
3,719,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,2.96,29.5,over,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
4,957,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,3.82,31.5,over,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
5,1195,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,4.97,33.5,over,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
6,1433,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,6.39,35.5,over,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
7,1671,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,7.96,37.5,over,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
8,1909,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,1.48,21.5,over,False,2021-03-24 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,29.0
9,712552,True,https://www.bodog.eu/sports/basketball/nba/detroit-pistons-indiana-pacers-202103241900,2021-03-24 00:00:00+00:00,Indiana Pacers,Detroit Pistons,0,Total Points - Jerami Grant,1.85,23.5,under,False,2021-03-24 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,29.0
