,Unnamed: 0,link,period,home,away,startTime,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,402,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - LeBron James,1.909,0.0,over,False,2021-03-20 00:00:00+00:00,1,LeBron James,PTS,LeBron James,PTS,10.0
1,403,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - LeBron James,1.909,0.0,under,False,2021-03-20 00:00:00+00:00,0,LeBron James,PTS,LeBron James,PTS,10.0
2,404,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Trae Young,1.952,0.0,over,False,2021-03-20 00:00:00+00:00,1,Trae Young,PTS,Trae Young,PTS,14.0
3,405,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Trae Young,1.87,0.0,under,False,2021-03-20 00:00:00+00:00,0,Trae Young,PTS,Trae Young,PTS,14.0
4,416,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Trae Young,1.01,0.0,over,False,2021-03-20 00:00:00+00:00,1,Trae Young,PTS,Trae Young,PTS,14.0
5,417,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Trae Young,1.01,0.0,under,False,2021-03-20 00:00:00+00:00,0,Trae Young,PTS,Trae Young,PTS,14.0
6,406,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - John Collins,1.952,0.0,over,False,2021-03-20 00:00:00+00:00,1,John Collins,PTS,John Collins,PTS,27.0
7,407,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - John Collins,1.87,0.0,under,False,2021-03-20 00:00:00+00:00,0,John Collins,PTS,John Collins,PTS,27.0
8,408,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Dennis Schroder,1.909,0.0,over,False,2021-03-20 00:00:00+00:00,1,Dennis Schroder,PTS,Dennis Schroder,PTS,16.0
9,409,https://sports.betway.com/en/sports/evt/7362777,0,Los Angeles Lakers,Atlanta Hawks,2021-03-20 00:00:00+00:00,Total Points - Dennis Schroder,1.909,0.0,under,False,2021-03-20 00:00:00+00:00,0,Dennis Schroder,PTS,Dennis Schroder,PTS,16.0
