,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,54,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,9.0,Total Points - Kentavious Caldwell-Pope,2021-03-20 00:00:00+00:00,2.0,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Kentavious Caldwell-Pope,PTS,Kentavious Caldwell-Pope,PTS,0.0
1,55,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,9.0,Total Points - Kentavious Caldwell-Pope,2021-03-20 00:00:00+00:00,1.75,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Kentavious Caldwell-Pope,PTS,Kentavious Caldwell-Pope,PTS,0.0
2,56,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,17.0,Total Points - John Collins,2021-03-20 00:00:00+00:00,1.87,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,John Collins,PTS,John Collins,PTS,27.0
3,57,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,17.0,Total Points - John Collins,2021-03-20 00:00:00+00:00,1.87,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,John Collins,PTS,John Collins,PTS,27.0
4,58,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,16.5,Total Points - Dennis Schroder,2021-03-20 00:00:00+00:00,1.94,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Dennis Schroder,PTS,Dennis Schroder,PTS,16.0
5,59,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,16.5,Total Points - Dennis Schroder,2021-03-20 00:00:00+00:00,1.8,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Dennis Schroder,PTS,Dennis Schroder,PTS,16.0
6,60,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,13.5,Total Points - Danilo Gallinari,2021-03-20 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Danilo Gallinari,PTS,Danilo Gallinari,PTS,18.0
7,61,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,13.5,Total Points - Danilo Gallinari,2021-03-20 00:00:00+00:00,1.78,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Danilo Gallinari,PTS,Danilo Gallinari,PTS,18.0
8,62,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,13.5,Total Points - Clint Capela,2021-03-20 00:00:00+00:00,1.85,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Clint Capela,PTS,Clint Capela,PTS,8.0
9,63,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,13.5,Total Points - Clint Capela,2021-03-20 00:00:00+00:00,1.89,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Clint Capela,PTS,Clint Capela,PTS,8.0
10,64,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,10.0,Total Points - Bogdan Bogdanovic,2021-03-20 00:00:00+00:00,1.75,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Bogdan Bogdanovic,PTS,Bogdan Bogdanovic,PTS,10.0
11,65,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,10.0,Total Points - Bogdan Bogdanovic,2021-03-20 00:00:00+00:00,2.0,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Bogdan Bogdanovic,PTS,Bogdan Bogdanovic,PTS,10.0
12,66,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,23.5,Total Points - Trae Young,2021-03-20 00:00:00+00:00,1.63,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Trae Young,PTS,Trae Young,PTS,14.0
13,67,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,23.5,Total Points - Trae Young,2021-03-20 00:00:00+00:00,2.15,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Trae Young,PTS,Trae Young,PTS,14.0
14,68,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,15.0,Total Points - Montrezl Harrell,2021-03-20 00:00:00+00:00,1.72,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,Montrezl Harrell,PTS,Montrezl Harrell,PTS,23.0
15,69,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,15.0,Total Points - Montrezl Harrell,2021-03-20 00:00:00+00:00,2.02,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Montrezl Harrell,PTS,Montrezl Harrell,PTS,23.0
16,70,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,27.0,Total Points - LeBron James,2021-03-20 00:00:00+00:00,1.77,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,LeBron James,PTS,LeBron James,PTS,10.0
17,71,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,27.0,Total Points - LeBron James,2021-03-20 00:00:00+00:00,1.98,under,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,1,LeBron James,PTS,LeBron James,PTS,10.0
18,72,1557332,OPEN,OPEN,OPEN,Los Angeles Lakers,Atlanta Hawks,14.5,Total Points - Kyle Kuzma,2021-03-20 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557332,2021-03-20 00:00:00+00:00,0,Kyle Kuzma,PTS,Kyle Kuzma,PTS,8.0
