,Unnamed: 0,link,period,home,away,startTime,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,317,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Jerami Grant,1.909,0.0,over,False,2021-03-17 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,23.0
1,318,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Jerami Grant,1.909,0.0,under,False,2021-03-17 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,23.0
2,321,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Delon Wright,1.909,0.0,over,False,2021-03-17 00:00:00+00:00,1,Delon Wright,PTS,Delon Wright,PTS,18.0
3,322,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Delon Wright,1.909,0.0,under,False,2021-03-17 00:00:00+00:00,0,Delon Wright,PTS,Delon Wright,PTS,18.0
4,323,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Mason Plumlee,1.952,0.0,over,False,2021-03-17 00:00:00+00:00,1,Mason Plumlee,PTS,Mason Plumlee,PTS,10.0
5,324,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Points - Mason Plumlee,1.87,0.0,under,False,2021-03-17 00:00:00+00:00,0,Mason Plumlee,PTS,Mason Plumlee,PTS,10.0
6,325,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Mason Plumlee,2.1,9.5,over,False,2021-03-17 00:00:00+00:00,1,Mason Plumlee,REB,Mason Plumlee,REB,14.0
7,326,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Mason Plumlee,1.7,9.5,under,False,2021-03-17 00:00:00+00:00,0,Mason Plumlee,REB,Mason Plumlee,REB,14.0
8,327,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Jerami Grant,2.1,5.5,over,False,2021-03-17 00:00:00+00:00,0,Jerami Grant,REB,Jerami Grant,REB,2.0
9,328,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Jerami Grant,1.7,5.5,under,False,2021-03-17 00:00:00+00:00,1,Jerami Grant,REB,Jerami Grant,REB,2.0
10,329,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Delon Wright,1.7,4.5,over,False,2021-03-17 00:00:00+00:00,1,Delon Wright,REB,Delon Wright,REB,10.0
11,330,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Rebounds - Delon Wright,2.1,4.5,under,False,2021-03-17 00:00:00+00:00,0,Delon Wright,REB,Delon Wright,REB,10.0
12,333,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Assists - Delon Wright,1.7,4.5,over,False,2021-03-17 00:00:00+00:00,1,Delon Wright,AST,Delon Wright,AST,8.0
13,334,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Assists - Delon Wright,2.1,4.5,under,False,2021-03-17 00:00:00+00:00,0,Delon Wright,AST,Delon Wright,AST,8.0
14,335,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Assists - Mason Plumlee,1.75,3.5,over,False,2021-03-17 00:00:00+00:00,0,Mason Plumlee,AST,Mason Plumlee,AST,2.0
15,336,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,Total Assists - Mason Plumlee,2.0,3.5,under,False,2021-03-17 00:00:00+00:00,1,Mason Plumlee,AST,Mason Plumlee,AST,2.0
16,343,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,"Total Points, Rebounds and Assists - Jerami Grant",1.952,0.0,over,False,2021-03-17 00:00:00+00:00,1,Jerami Grant,PRA,Jerami Grant,PRA,27.0
17,344,https://sports.betway.com/en/sports/evt/7346694,0,Detroit Pistons,Toronto Raptors,2021-03-17 00:00:00+00:00,"Total Points, Rebounds and Assists - Jerami Grant",1.8,0.0,under,False,2021-03-17 00:00:00+00:00,0,Jerami Grant,PRA,Jerami Grant,PRA,27.0
