,Unnamed: 0,isProps,link,startTime,home,away,period,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,10,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.78,8.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,AST,Nikola Jokic,AST,10.0
1,322,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.89,9.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,AST,Nikola Jokic,AST,10.0
2,634,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,2.52,10.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,AST,Nikola Jokic,AST,10.0
3,946,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,3.62,11.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,AST,Nikola Jokic,AST,10.0
4,1258,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,5.69,12.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,AST,Nikola Jokic,AST,10.0
5,1570,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.4,7.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,AST,Nikola Jokic,AST,10.0
6,1882,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.15,6.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,AST,Nikola Jokic,AST,10.0
7,644083,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Assists - Nikola Jokic,1.99,8.5,under,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,AST,Nikola Jokic,AST,10.0
8,2194,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,1.5,0.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,BLK,Nikola Jokic,BLK,1.0
9,2506,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,3.0,1.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,BLK,Nikola Jokic,BLK,1.0
10,2818,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,5.88,2.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,BLK,Nikola Jokic,BLK,1.0
11,3130,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Blocked Shots - Nikola Jokic,18.0,3.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,BLK,Nikola Jokic,BLK,1.0
12,3442,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,1.91,10.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
13,3754,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,2.02,11.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
14,4066,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,2.48,12.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
15,4378,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,3.52,13.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
16,4690,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,5.44,14.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
17,5002,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,9.12,15.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,REB,Nikola Jokic,REB,15.0
18,5314,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,19.65,16.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,REB,Nikola Jokic,REB,15.0
19,5626,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,30.77,17.5,over,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,REB,Nikola Jokic,REB,15.0
20,5938,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,1.3,9.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,REB,Nikola Jokic,REB,15.0
21,644395,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,Total Rebounds - Nikola Jokic,1.85,10.5,under,False,2021-03-23 00:00:00+00:00,0,Nikola Jokic,REB,Nikola Jokic,REB,15.0
22,6250,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,"Total Points, Rebounds and Assists - Nikola Jokic",1.85,45.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,PRA,Nikola Jokic,PRA,53.0
23,6562,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,"Total Points, Rebounds and Assists - Nikola Jokic",2.08,47.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,PRA,Nikola Jokic,PRA,53.0
24,6874,True,https://www.bodog.eu/sports/basketball/nba/denver-nuggets-orlando-magic-202103231900,2021-03-23 00:00:00+00:00,Orlando Magic,Denver Nuggets,0,"Total Points, Rebounds and Assists - Nikola Jokic",2.33,49.5,over,False,2021-03-23 00:00:00+00:00,1,Nikola Jokic,PRA,Nikola Jokic,PRA,53.0
